Region,Korean_Density,Japanese_Density,Western_Density,Chinese_Density,Cafe_Density,Population,Business Opening Rate,Business Closing Rate,Number of Stores,Average Operating Period,Startup Survival Rate (1 Year),Startup Survival Rate (3 Years),Startup Survival Rate (5 Years),Annual Survival Rate (1 Year),Annual Survival Rate (3 Years),Annual Survival Rate (5 Years),Rent Price,Area,Bus Station,Subway Station,Population Density,Store Density,Business Opening Rate (%),Business Closing Rate (%)
관악구,156.8481569,17.24721001,27.3588096,12.78322624,10.41596212,44779.76041,290.6666667,264.5,5855.833333,2.559722222,72.38333333,42.5,26.51666667,66.01666667,26.13333333,38.85,104736,29.57,300,4,1514.364572,198.0329162,4.968085313,4.519208683
서초구,115.1605358,14.71401233,25.57941739,9.164363172,12.73655114,21440.3546,284.3333333,263.6666667,7556.333333,2.872222222,77.66666667,50.55,33.25,72.06666667,32.53333333,45.61666667,126758.8333,47.03,431,12,455.8867659,160.670494,3.765195657,3.48794587
양천구,161.1494253,17.24137931,13.33333333,14.59770115,17.01149425,46375.92799,194,180,4054.5,2.641666667,74.96666667,44.51666667,27.81666667,68.31666667,27.53333333,41,101594,17.4,236,5,2665.283218,233.0172414,4.788584723,4.443031179
영등포구,250.956451,29.91452991,28.8970289,41.67684168,66.62596663,44198.97058,336.1666667,296.3333333,7733.333333,2.747222222,77.31666667,48.21666667,32.08333333,70.5,31.7,43.91666667,106767.8333,24.57,325,11,1798.899901,314.7469814,4.352258447,3.834343824
동작구,153.0275229,17.18654434,20,13.76146789,66.97247706,53720.54389,176.3333333,170.3333333,4309.166667,2.844444444,77.98333333,48.16666667,31.88333333,72.06666667,31.28333333,44.98333333,119571.1667,16.35,291,12,3285.660177,263.5575943,4.09014341,3.951602957
광진구,221.7008798,34.78005865,32.49266862,26.62756598,44.86803519,56006.18327,233.8333333,216,5246.666667,2.720833333,75.58333333,46.76666667,30.01666667,70.76666667,29.46666667,42.88333333,101582,17.05,185,11,3284.820133,307.7223851,4.461329608,4.115754591
서대문구,188.7563884,19.76149915,46.56445202,16.01362862,18.56899489,54086.83769,173,164.1666667,4502.333333,2.784722222,77.71666667,47.7,31.31666667,71.08333333,30.68333333,43.55,113273.8333,17.61,317,5,3071.370681,255.6691274,3.841833181,3.645862872
금천구,243.735588,15.21906226,15.52651806,31.36049193,10.60722521,29777.34146,178.8333333,150.1666667,3641.666667,2.630555556,74.53333333,45.88333333,28.75,67.5,28.35,40.68333333,99577.66667,13.01,215,1,2288.804109,279.9128875,4.923310783,4.126744054
노원구,89.38452851,10.02258611,9.00621118,7.312252964,23.57425184,28344.04359,192.6666667,187.3333333,4611.833333,2.7625,74.88333333,46.33333333,31.26666667,70.18333333,30.91666667,43.98333333,107316.3333,35.42,352,13,800.2270918,130.2042161,4.180314127,4.063743247
강북구,135.2118644,9.830508475,7.5,7.415254237,51.3559322,41341.13771,177.1666667,178,3886.166667,2.569444444,71.96666667,41.9,26.9,66.05,26.43333333,38.13333333,84799.33333,23.6,242,3,1751.743123,164.6680791,4.563202522,4.579920979
